"Dependencia","Instalada","Última oficial","Estado"
"archive","4.0.7","4.0.9","Desactualizada pub"
"async","2.13.0","2.13.1","Desactualizada pub"
"characters","1.4.0","1.4.1","Desactualizada pub"
"cli_util","0.4.2","0.4.2","Actualizada pub"
"connectivity_plus","5.0.2","7.0.0","Desactualizada pub"
"connectivity_plus_platform_interface","1.2.4","2.1.0","Desactualizada pub"
"cupertino_icons","1.0.8","1.0.9","Desactualizada"
"dio","5.9.1","5.9.2","Desactualizada"
"dio_web_adapter","2.1.1","2.1.2","Desactualizada pub"
"dropdown_search","6.0.2","7.0.0","Desactualizada"
"ffi","2.1.5","2.2.0","Desactualizada"
"file_picker","8.3.7","11.0.2","Desactualizada"
"fl_chart","0.66.2","1.2.0","Desactualizada"
"flutter_dotenv","5.2.1","6.0.1","Desactualizada"
"flutter_launcher_icons","0.13.1","0.14.4","Desactualizada"
"flutter_local_notifications","20.0.0","21.0.0","Desactualizada"
"flutter_local_notifications_linux","7.0.0","8.0.0","Desactualizada"
"flutter_local_notifications_platform_interface","10.0.0","11.0.0","Desactualizada"
"flutter_local_notifications_windows","2.0.0","3.0.0","Desactualizada"
"flutter_plugin_android_lifecycle","2.0.33","2.0.34","Desactualizada"
"flutter_secure_storage","8.1.0","10.1.0","Desactualizada"
"flutter_secure_storage_linux","1.2.3","3.0.0","Desactualizada"
"flutter_secure_storage_macos","3.1.3","4.0.0","Desactualizada"
"flutter_secure_storage_platform_interface","1.1.2","2.0.1","Desactualizada"
"flutter_secure_storage_web","1.2.1","2.1.1","Desactualizada"
"flutter_secure_storage_windows","2.1.1","4.1.0","Desactualizada"
"google_fonts","8.0.1","8.1.0","Desactualizada"
"image","4.7.2","4.8.0","Desactualizada"
"image_picker","1.2.1","1.2.2","Desactualizada"
"image_picker_android","0.8.13+13","0.8.13+17","Desactualizada"
"intl","0.18.1","0.20.2","Desactualizada"
"js","0.6.7","0.7.2","Desactualizada"
"json_annotation","4.10.0","4.11.0","Desactualizada"
"matcher","0.12.17","0.12.20","Desactualizada"
"material_color_utilities","0.11.1","0.13.0","Desactualizada"
"meta","1.17.0","1.18.2","Desactualizada"
"mobile_scanner","5.2.3","7.2.0","Desactualizada"
"package_info_plus","9.0.1","10.1.0","Desactualizada"
"package_info_plus_platform_interface","3.2.1","4.1.0","Desactualizada"
"path_provider_android","2.2.22","2.3.1","Desactualizada"
"path_provider_foundation","2.5.1","2.6.0","Desactualizada"
"petitparser","7.0.1","7.0.2","Desactualizada"
"posix","6.0.3","6.5.0","Desactualizada"
"sqflite","2.4.2","2.4.2+1","Desactualizada"
"sqflite_android","2.4.2+2","2.4.2+3","Desactualizada"
"sqflite_common","2.5.6","2.5.7","Desactualizada"
"sqflite_common_ffi","2.4.0+2","2.4.0+3","Desactualizada"
"sqlite3","2.9.3","3.3.1","Desactualizada"
"sqlite3_flutter_libs","0.5.41","0.6.0+eol","Desactualizada"
"synchronized","3.4.0","3.4.0+1","Desactualizada"
"test_api","0.7.7","0.7.12","Desactualizada"
"timezone","0.10.1","0.11.0","Desactualizada"
"uuid","4.5.2","4.5.3","Desactualizada"
"vector_math","2.2.0","2.3.0","Desactualizada"
"vm_service","15.0.2","15.2.0","Desactualizada"
"win32","5.15.0","6.2.0","Desactualizada"
"xml","6.6.1","7.0.1","Desactualizada"
